Algoritmo,Tamanho do número,Número primo gerado,Tempo para gerar
Solovay-Strassem,512 bits,2523682975798985539052938748371537953333536655755733670351216351702919815006474113455752112008666571957981731622406015493812995524910400116304037768154039,149 ms
Miller-Rabin,1024 bits,76533132542983699059563609912242130806569744961639991708672380925088163224055978583762802108067894766487773262013469271630637837892664485997972605381901358692319940338085791943410578254161084008568070909294793961953667709990332619516879038019907597295441336949227493489638069697262673257655592767213070068247,196 ms
Miller-Rabin,1024 bits,83041382190322541005636061378786983115152251371209368796442600380788232258799924414069412527347390508328933244237163979862305462258722605845616185178499837278791181662650711633219446004620035637322396516351746878731874742604039082626624017734805941815613577001283015377304319691825765293010430116366641900427,97 ms
Miller-Rabin,1024 bits,39364007442176363149244601013229797093751578352103743630980282773259636310467506989257495654725734616539024720648623775639740847925213151906446352379239594912287092630298648389297768809907856031781175987708162035101449451984294622293639442574216956707772085909600564038798649634630859679612329507043538576463,281 ms
Miller-Rabin,1024 bits,50163523251085431834431891881742884325549783066331657695945667079507137460570441778516931766099547167208469703011191803807791109444659819784341403700148494934984405776042747528620707582251430796305877133753636266610706856780420829803331723625335893404941882235186401974795174471029053223621952320409147903109,468 ms
Miller-Rabin,1024 bits,44669957676201747796762320933927820422849853671488828662339999290255966057043105618499743853366465359973662239207167959378531005108679074991576400475893678506223068989209229267158267428572132959956326598614862436000162646188769420719073631481568577456602711011272163930875327377184847593939916867777801587543,251 ms
Miller-Rabin,1024 bits,135323415706596899728401175178972328930553777853688074743382821651011768755224290531916401494813397825003212895844587834561846815583657493907058877420570371684228602244313271186775022458641584416280095887764088577698648351019443359384643586296928170171877092263839314420015785160306397137219002071740440667767,491 ms
Miller-Rabin,1024 bits,40860138107458572514738671622595869779847996484641842302653156912683987857286482381432410539226440858463683309478338648098716880161395021913506755351772011434250842569979275348538506799003232075876401804891561673231250030905562821897813742285057744670909284332755725149136695831686966554940632362779064800093,99 ms
Miller-Rabin,1024 bits,8936210997166035680660553625530749088476700420330808012963251404065718597515167878221307186503555026606998951918602510800005610523627797596463280415729224197388669986675022599826646160800995559131168001091622518825624402386953059881863532781456473780323182425228466677928570888064591699449812551182989183167,17 ms
Miller-Rabin,1024 bits,7510825612618310419985686324938639017384776991544296668135031055434183484242047767670665573055783004163320032280577830181646307704469546080048564256447917394127300157430186132347156604303040675405361028843467940534947606780657506045337644982037792051885686682766108234944955060456181496072282393166567577951,693 ms
Miller-Rabin,1024 bits,92934439903064561984399983500441668692869954915987728875348693932418400958709114478153353650103203591685726773321465338988109951072903296290253039258362099529113501104564384732405749991442896065185217644843389940180300877068970261162969246681164886849372887929792282724244992678676192515849431197075159502483,430 ms
Solovay-Strassem,1024 bits,42239425309891918434888386956381687375843512018257334828447225904986269480909302012163872210709295566902753368226873658694805712104959297898998115400889547155880372692117108122846199162799115620151946890576725089326606620616452803153080768149563921441618261431912244946344989689414675005461533911750334920503,411 ms
Solovay-Strassem,1024 bits,85180478477970790849278746179975571026099748477837285661816011657861471238892545365139357183584583776412868700413139250189812980367065869382668984747328101904959833621798356438791428670273435152810299540576129241567873049960999544234311124542957611546314163210986090515554521256718186271155939033827054356469,49 ms
Solovay-Strassem,1024 bits,73857112241124154985323432492552264123615317289246093545787942028150058121484352851000085036390398220873511190858658323938404317562823151421126350143414092327213540512211491299663497159901398261692338279076273365453111326681354722969115000275829007718084452508596555922995394258231673795799065196656734238119,123 ms
Solovay-Strassem,1024 bits,76533132542983699059563609912242130806569744961639991708672380925088163224055978583762802108067894766487773262013469271630637837892664485997972605381901358692319940338085791943410578254161084008568070909294793961953667709990332619516879038019907597295441336949227493489638069697262673257655592767213070068247,284 ms
Solovay-Strassem,1024 bits,83041382190322541005636061378786983115152251371209368796442600380788232258799924414069412527347390508328933244237163979862305462258722605845616185178499837278791181662650711633219446004620035637322396516351746878731874742604039082626624017734805941815613577001283015377304319691825765293010430116366641900427,98 ms
Solovay-Strassem,1024 bits,135323415706596899728401175178972328930553777853688074743382821651011768755224290531916401494813397825003212895844587834561846815583657493907058877420570371684228602244313271186775022458641584416280095887764088577698648351019443359384643586296928170171877092263839314420015785160306397137219002071740440667767,744 ms
Solovay-Strassem,1024 bits,40860138107458572514738671622595869779847996484641842302653156912683987857286482381432410539226440858463683309478338648098716880161395021913506755351772011434250842569979275348538506799003232075876401804891561673231250030905562821897813742285057744670909284332755725149136695831686966554940632362779064800093,103 ms
Solovay-Strassem,1024 bits,8936210997166035680660553625530749088476700420330808012963251404065718597515167878221307186503555026606998951918602510800005610523627797596463280415729224197388669986675022599826646160800995559131168001091622518825624402386953059881863532781456473780323182425228466677928570888064591699449812551182989183167,18 ms
Solovay-Strassem,1024 bits,72880403785315267467508904674359522842944024337848039335256597113626982415003878295069267107536948189734736908961098938640418562519383490416441394727394223041229993879897548624729574505741077510219133598842408641059974274643383001851594962578909516290163076613768324969359402896340484895909997801552049966041,555 ms
Solovay-Strassem,1024 bits,7510825612618310419985686324938639017384776991544296668135031055434183484242047767670665573055783004163320032280577830181646307704469546080048564256447917394127300157430186132347156604303040675405361028843467940534947606780657506045337644982037792051885686682766108234944955060456181496072282393166567577951,152 ms
Miller-Rabin,2048 bits,7757045197010629470974472255970804140500150121331636029285652471226350723590161961126327859010168246603286612240637079785987783416440319134104139341005804743764916833848363066683185354928908903401256798516047850031931762049213400924295511653265109473348108986378528481596506823123090276950597030164406253341194682104042872284641533930336370205493845999728368325951800128655938937422451436816282034678057561219161894541034204680166064016982861985014781957831303562588317086575721566570351059557516541846624433636074019859881009211198037047964099177480462220764412043533485975191243896788958970312102949267920367908707,2156 ms
Miller-Rabin,2048 bits,14742445365213401232504076910717446550425524922845301058235123596718589866370939424360349589149095564384954580431195828338438854370993293835102458276423263944983215675781636724235339846958865056559332809632678568513136615185506838119493180237978780265660403055014211778780967237759566193633154969735218065301530264456550984631595336606946092927470310635052424643371076000339994337166845964583192118163744738931246506105592098120042414678239233042161012894057086959798885064674517259624656849729408120668016006689608088605200876525378798055665132362862512152072853438699176688144392149074525084581405386947961235464939,1069 ms
Miller-Rabin,2048 bits,8359245522038641498187641035313846650296394174465406847046036715514551779684105845746334327042442200482152365892339585986518927775266356476844286680641838280711983494286552408050075892241189790128004260619798612233244316002646117581353379496044613216034838681696110927013457836883722884388273165990281845318749919918692631503695017719720087139537209637040181134500680673108272686585792816881006134707025211851681419209385612327160923734767254381913358880596555603198496029649827542284703151070021127002785713306295263754121202572369902496006323462793887709583211582527684471077669637480978539142939443476359687908951,3448 ms
Miller-Rabin,2048 bits,14757383936156521614309780277077179664151759954171265320929606069695656590906031503211677413859138400118880150696527868573504169718296030792483915801242315436091349989912111259232590422298608493122877811708253466896054674117702905958361520313778082057205992895381091872909586655032234201666313666800580759667877313857321336542935971750576423750437549852242940431330202498142513894339952777075192349756391511232100027236711699493226288003632893134908212676996648640442463221196253979711308781921160884092585392044901222234869383651821149368937261456207127387385683699738085457675549304822632538106999246873386403924277,1925 ms
Miller-Rabin,2048 bits,12289783238635826484268323064921076215070121582338345554574813389657792661882999913574297721090594121485993685594344884009399281892784393368237484133446822586690114957052250271857221523292603740514596605538626872501308825177818924668740481953444785343526927936478534581015706114887603920092768920103069475879682310274451560583402258105686478150706833592349399044117349640802126376639506253046137932836894842867202871193048102913057535629640433380460958152047591672827274334807186614679615781559167735005367441925751457374852405331731009400676040886658292646937541975840899555625643293540419250373936663786641736254023,2770 ms
Miller-Rabin,2048 bits,6227123737679714162889519527386274762716379191882712653446348662143852570686262721107929304144361507403706387352933975718650928903244872739476602880551688924979531795519887322067942532284540300887626591292539541956282598988470505414842313136748373177002522805065874989587013161491017132748032377042499621775061094223146227229879687008276397572562855962975752464846488042147626157640135514259667163837738616503689820253394912106090956250981910104030469152753352751109672134635874354009104334657289370425419861198469212228731819094322494103881616618392700055594643623005637926070494525979252242285117663540613293021603,2053 ms
Miller-Rabin,2048 bits,17905317537443219875959996024806010689748442957733918696515741290476191821507247097354717359212023231704558043066308039148474013954681471021453988940209208071596133310249536638096131952068720636780196524210208062846819104805308692531355320058074724677493313242413150262405010074657363091589400046730076173020156781708956938391375302572268390984824726328549115090771770191563195830841586477331474938756380925671010309794549150907819651653223524323212379700171725388893671875221382317726256259903674634559193892921521935156630864524791105119491576646045491129311418651743315018832592370497461926905894093984010805875831,754 ms
Miller-Rabin,2048 bits,10579409467095043922420887989954554171715863312338535322200682751071652902689224181543178781813921571091110765687087372660509094157471568508624927486494088710697365869756562882330794596239302437245559464544067630476395185045755323733248177377796685871074790459245937253301169840383575630178607271553938624318024990927664291406455884554772657790377437131569650365286704285330784239271711880949355497583981376917387216261224790804941931480697683710765454129090402178427929780420967047404636600642777938653136906762623763487900825022709697596974822325360206793056434202679652226780545593478205990767975032410885165558061,5175 ms
Miller-Rabin,2048 bits,26346010307294551087269104411521305406844125785337936446245935849885892307593557507858667279939615468762422451145452697098065553577225107066746809152387960414868552340295449830917984363297675696718207418989938565297597017856136758669205764315702776961496291224531308880728842416552324729707920911999805751692519669055241136689243297019772624413193965474492189272368592134541952906019512254311627250310625004824601340591210197988015596061398384947936337870307314969601171036091385646725460437808432813253181752565703443798675757017485570231843230598870533502704150433639291365798413727832349678149962327127354485559797,295 ms
Miller-Rabin,2048 bits,22519011975422972353636732068990834165547410328593551751683405613982911050099923374066693458378187916848025487394341026120457399730502091397188331724370077391226347174272752367483021877448852765181706603554239679030160025377625699618114932579290112740520984308717997041126493618946002899769878046521793995435249022483685742746255368691027360939522715197426612382662791998560050316064101439450510732935927506145578113590935164245488236848836576014282921545119388075280797014715141492046089269712822685987432550767297514450752567292439777552733184102836937101944528444521324907693952848495841819285094510082812452365277,1000 ms
Solovay-Strassem,2048 bits,7757045197010629470974472255970804140500150121331636029285652471226350723590161961126327859010168246603286612240637079785987783416440319134104139341005804743764916833848363066683185354928908903401256798516047850031931762049213400924295511653265109473348108986378528481596506823123090276950597030164406253341194682104042872284641533930336370205493845999728368325951800128655938937422451436816282034678057561219161894541034204680166064016982861985014781957831303562588317086575721566570351059557516541846624433636074019859881009211198037047964099177480462220764412043533485975191243896788958970312102949267920367908707,4211 ms
